model_arch,encoder,loss_type,data_augmentation,lr,weight_decay,train_loss,iou_score,dice_score
manet,resnet34,cross_entropy,False,0.01,0.001,0.46260401487350467,0.34006959199905396,0.3978302776813507
unet,resnet34,dice,False,0.001,0.0,0.03249110460281372,0.8062111139297485,0.8771468997001648
unet,resnet34,dice,False,0.001,0.001,0.07081251382827759,0.6892685890197754,0.7896897792816162
deeplabv3plus,resnet34,dice,False,0.001,0.0,0.034537067413330076,0.7924798727035522,0.8720988631248474
deeplabv3plus,resnet34,dice,False,0.001,0.001,0.08403082370758057,0.5527095198631287,0.6863458156585693
pspnet,resnet34,dice,False,0.001,0.0,0.023003075122833252,0.8073614239692688,0.8791006207466125
pspnet,resnet34,dice,False,0.001,0.001,0.05374840497970581,0.6859157085418701,0.7856593132019043
manet,resnet34,dice,False,0.001,0.0,0.03580554485321045,0.7638916969299316,0.851410448551178
manet,resnet34,dice,False,0.001,0.001,0.10158246994018555,0.6705962419509888,0.7845533490180969
unet,resnet34,cross_entropy,False,0.001,0.0,0.13013404995203018,0.777732789516449,0.863053560256958
unet,resnet34,cross_entropy,False,0.001,0.001,0.13185980767011643,0.7336035370826721,0.8300744891166687
deeplabv3plus,resnet34,cross_entropy,False,0.001,0.0,0.08389622941613198,0.7944063544273376,0.8757319450378418
deeplabv3plus,resnet34,cross_entropy,False,0.001,0.001,0.15396770477294922,0.7814992070198059,0.863945722579956
pspnet,resnet34,cross_entropy,False,0.001,0.0,0.0551882404088974,0.7969045042991638,0.8751571774482727
pspnet,resnet34,cross_entropy,False,0.001,0.001,0.14112525820732116,0.7809184789657593,0.8477513194084167
manet,resnet34,cross_entropy,False,0.001,0.0,0.09193452388048172,0.7735832929611206,0.8464961051940918
manet,resnet34,cross_entropy,False,0.001,0.001,0.14373187631368636,0.7136416435241699,0.8142002820968628
unet,resnet34,dice,False,0.0001,0.0,0.043468544483184816,0.8453588485717773,0.9054086208343506
unet,resnet34,dice,False,0.0001,0.001,0.04402268409729004,0.8508588075637817,0.9082143306732178
deeplabv3plus,resnet34,dice,False,0.0001,0.0,0.040402662754058835,0.8411521911621094,0.9002895355224609
deeplabv3plus,resnet34,dice,False,0.0001,0.001,0.046748735904693604,0.8221211433410645,0.8909507989883423
pspnet,resnet34,dice,False,0.0001,0.0,0.033193202018737794,0.7987542152404785,0.8697201013565063
pspnet,resnet34,dice,False,0.0001,0.001,0.03643797159194946,0.8040316700935364,0.8772237300872803
manet,resnet34,dice,False,0.0001,0.0,0.045987074375152585,0.8408951759338379,0.9020330905914307
manet,resnet34,dice,False,0.0001,0.001,0.051937487125396725,0.8488719463348389,0.9050860404968262
unet,resnet34,cross_entropy,False,0.0001,0.0,0.07836709976196289,0.8438018560409546,0.905201256275177
unet,resnet34,cross_entropy,False,0.0001,0.001,0.07914996981620788,0.8610321283340454,0.9137513041496277
deeplabv3plus,resnet34,cross_entropy,False,0.0001,0.0,0.09431549817323685,0.8373774290084839,0.8993683457374573
deeplabv3plus,resnet34,cross_entropy,False,0.0001,0.001,0.09715152502059937,0.8413782119750977,0.9018530249595642
